pmid,year,title,species,observation_type,entity_a,relationship,entity_b_or_context,confidence,supporting_quote,needs_full_text,reviewed,devSim_param,entity_a_raw,entity_b_raw,source,evidence_type,figure_ref,timepoint_h,perturbation_type,dataset
31391456,2019,Morphogenesis of extra-embryonic tissues directs the remodelling of the mouse embryo at implantation.,mouse,spatial_pattern,Cdx2,gradient_in,polar to mural trophectoderm,high,"gradient of Cdx2, indicative of TE potency, became established with higher levels on polar side",False,False,unmapped,Cdx2,polar to mural trophectoderm,fulltext,direct,Supplementary Fig. 1b,not_specified,none,mouse_embryo
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,spatial_pattern,CD41+ blood progenitor cells,high_in,anterior portion of gastruloids near vascular network and endoderm,high,"CD41+ blood progenitor cells arise in anterior portion of gastruloids, in close proximity to vascular-like network and endodermal compartment",False,False,unmapped,CD41+ blood progenitor cells,anterior portion of gastruloids near vascular network and endoderm,fulltext,direct,,96,none,gastruloid
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,hemoglobin embryonic isoforms,upregulates,erythroid lineage,high,at 168 h we observed a small population expressing hemoglobin embryonic isoforms Hbb-y and Hbb-bh1,False,False,unmapped,hemoglobin embryonic isoforms,erythroid lineage,fulltext,direct,Fig. 1d,168,none,gastruloid
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,CDX2,high_in,hematoendothelial clusters,medium,gastruloids spontaneously expressed Hoxb4 in hematoendothelial and endothelial clusters,False,False,unmapped,CDX2,hematoendothelial clusters,fulltext,direct,Fig. 1d,96,none,gastruloid
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,Hoxb4,upregulates,hematopoietic differentiation,high,"gastruloids expressed Hoxb4, which has been shown to promote hematopoietic differentiation upon ectopic expression",False,False,unmapped,Hoxb4,hematopoietic differentiation,fulltext,direct,Fig. 1d,96,none,gastruloid
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,KDR,correlates_with,TBXT in common hematoendothelial progenitors,high,"Co-expression of Kdr and T/Brachyury marks common progenitors for cardiac, endothelial, and hematopoietic lineages",False,False,unmapped,KDR,TBXT in common hematoendothelial progenitors,fulltext,cited,Fig. 1d,96,none,gastruloid
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,SOX17,upregulates,hemogenic endothelium,high,"Sox17, which marks hemogenic endothelium in vivo, was upregulated over time",False,False,unmapped,SOX17,hemogenic endothelium,fulltext,direct,Fig. 1d,96,none,gastruloid
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,TBXT,upregulates,hematopoietic progenitors,high,"Around 96 h we observed a population expressing T/Brachyury, Mixl1, Pdgfra, and Kdr/Flk1/Vegfr2",False,False,unmapped,TBXT,hematopoietic progenitors,fulltext,direct,Fig. 1d,96,none,gastruloid
35908548,2022,The intrinsic and extrinsic effects of TET proteins during gastrulation.,mouse,perturbation,TET1/TET2/TET3,required_for,normal gastrulation progression,high,"delayed and abnormal gastrulation characterized by failure to form mesoderm and ectoderm lineages, excessive extraembryonic mesoderm differentiation",False,False,unmapped,TET1/TET2/TET3,normal gastrulation progression,fulltext,direct,Fig. 1B,180,genetic_KO,mouse_embryo
35908548,2022,The intrinsic and extrinsic effects of TET proteins during gastrulation.,mouse,perturbation,TET1/TET2/TET3,required_for,node/notochord lineage specification,high,node/notochord lineage is consistently affected by loss of Tet,False,False,unmapped,TET1/TET2/TET3,node/notochord lineage specification,fulltext,direct,,180,genetic_KO,mouse_embryo
